QUANTUM NUMBER,STRETCH-PROB,ROT-PROB
207,  .0000000000000E+00,  .0000000000000E+00
208,  .0000000000000E+00,  .0000000000000E+00
209,  .0000000000000E+00,  .0000000000000E+00
210,  .0000000000000E+00,  .0000000000000E+00
211,  .0000000000000E+00,  .0000000000000E+00
212,  .0000000000000E+00,  .0000000000000E+00
213,  .0000000000000E+00,  .0000000000000E+00
214,  .0000000000000E+00,  .0000000000000E+00
215,  .0000000000000E+00,  .0000000000000E+00
216,  .0000000000000E+00,  .0000000000000E+00
217,  .0000000000000E+00,  .0000000000000E+00
218,  .0000000000000E+00,  .0000000000000E+00
219,  .0000000000000E+00,  .0000000000000E+00
220,  .0000000000000E+00,  .0000000000000E+00
221,  .0000000000000E+00,  .0000000000000E+00
222,  .0000000000000E+00,  .0000000000000E+00
223,  .0000000000000E+00,  .0000000000000E+00
224,  .0000000000000E+00,  .0000000000000E+00
225,  .0000000000000E+00,  .0000000000000E+00
226,  .0000000000000E+00,  .0000000000000E+00
227,  .0000000000000E+00,  .0000000000000E+00
228,  .0000000000000E+00,  .0000000000000E+00
229,  .0000000000000E+00,  .0000000000000E+00
230,  .0000000000000E+00,  .0000000000000E+00
231,  .0000000000000E+00,  .0000000000000E+00
232,  .0000000000000E+00,  .0000000000000E+00
233,  .0000000000000E+00,  .0000000000000E+00
234,  .0000000000000E+00,  .0000000000000E+00
235,  .0000000000000E+00,  .0000000000000E+00
236,  .0000000000000E+00,  .0000000000000E+00
237,  .0000000000000E+00,  .0000000000000E+00
238,  .0000000000000E+00,  .0000000000000E+00
239,  .0000000000000E+00,  .0000000000000E+00
240,  .0000000000000E+00,  .0000000000000E+00
241,  .0000000000000E+00,  .0000000000000E+00
242,  .0000000000000E+00,  .0000000000000E+00
243,  .0000000000000E+00,  .0000000000000E+00
244,  .0000000000000E+00,  .0000000000000E+00
245,  .0000000000000E+00,  .0000000000000E+00
246,  .0000000000000E+00,  .0000000000000E+00
247,  .0000000000000E+00,  .0000000000000E+00
248,  .0000000000000E+00,  .0000000000000E+00
249,  .0000000000000E+00,  .0000000000000E+00
250,  .0000000000000E+00,  .0000000000000E+00
251,  .0000000000000E+00,  .0000000000000E+00
252,  .0000000000000E+00,  .0000000000000E+00
253,  .0000000000000E+00,  .0000000000000E+00
254,  .0000000000000E+00,  .0000000000000E+00
255,  .0000000000000E+00,  .0000000000000E+00
256,  .0000000000000E+00,  .0000000000000E+00
257,  .0000000000000E+00,  .0000000000000E+00
258,  .0000000000000E+00,  .0000000000000E+00
259,  .0000000000000E+00,  .0000000000000E+00
260,  .0000000000000E+00,  .0000000000000E+00
261,  .0000000000000E+00,  .0000000000000E+00
262,  .0000000000000E+00,  .0000000000000E+00
263,  .0000000000000E+00,  .0000000000000E+00
264,  .0000000000000E+00,  .0000000000000E+00
265,  .0000000000000E+00,  .0000000000000E+00
266,  .0000000000000E+00,  .0000000000000E+00
267,  .0000000000000E+00,  .0000000000000E+00
268,  .0000000000000E+00,  .0000000000000E+00
269,  .0000000000000E+00,  .0000000000000E+00
270,  .0000000000000E+00,  .0000000000000E+00
271,  .0000000000000E+00,  .0000000000000E+00
272,  .0000000000000E+00,  .0000000000000E+00
273,  .0000000000000E+00,  .0000000000000E+00
274,  .0000000000000E+00,  .0000000000000E+00
275,  .0000000000000E+00,  .0000000000000E+00
276,  .0000000000000E+00,  .0000000000000E+00
277,  .0000000000000E+00,  .0000000000000E+00
278,  .0000000000000E+00,  .0000000000000E+00
279,  .0000000000000E+00,  .0000000000000E+00
280,  .0000000000000E+00,  .0000000000000E+00
281,  .0000000000000E+00,  .0000000000000E+00
282,  .0000000000000E+00,  .0000000000000E+00
283,  .0000000000000E+00,  .0000000000000E+00
284,  .0000000000000E+00,  .0000000000000E+00
285,  .0000000000000E+00,  .0000000000000E+00
286,  .0000000000000E+00,  .0000000000000E+00
287,  .0000000000000E+00,  .0000000000000E+00
288,  .0000000000000E+00,  .0000000000000E+00
289,  .0000000000000E+00,  .0000000000000E+00
290,  .0000000000000E+00,  .0000000000000E+00
291,  .0000000000000E+00,  .0000000000000E+00
292,  .0000000000000E+00,  .0000000000000E+00
293,  .0000000000000E+00,  .0000000000000E+00
294,  .0000000000000E+00,  .0000000000000E+00
295,  .0000000000000E+00,  .0000000000000E+00
296,  .0000000000000E+00,  .0000000000000E+00
297,  .0000000000000E+00,  .0000000000000E+00
298,  .0000000000000E+00,  .0000000000000E+00
299,  .0000000000000E+00,  .0000000000000E+00
300,  .0000000000000E+00,  .0000000000000E+00
301,  .0000000000000E+00,  .0000000000000E+00
302,  .0000000000000E+00,  .0000000000000E+00
303,  .0000000000000E+00,  .0000000000000E+00
304,  .0000000000000E+00,  .0000000000000E+00
305,  .0000000000000E+00,  .0000000000000E+00
306,  .0000000000000E+00,  .0000000000000E+00
307,  .0000000000000E+00,  .0000000000000E+00
308,  .0000000000000E+00,  .0000000000000E+00
309,  .0000000000000E+00,  .0000000000000E+00
310,  .0000000000000E+00,  .0000000000000E+00
311,  .0000000000000E+00,  .0000000000000E+00
312,  .0000000000000E+00,  .0000000000000E+00
313,  .0000000000000E+00,  .0000000000000E+00
314,  .0000000000000E+00,  .0000000000000E+00
315,  .0000000000000E+00,  .0000000000000E+00
316,  .0000000000000E+00,  .0000000000000E+00
317,  .0000000000000E+00,  .0000000000000E+00
318,  .0000000000000E+00,  .0000000000000E+00
319,  .0000000000000E+00,  .0000000000000E+00
320,  .0000000000000E+00,  .0000000000000E+00
321,  .0000000000000E+00,  .0000000000000E+00
322,  .0000000000000E+00,  .0000000000000E+00
323,  .0000000000000E+00,  .0000000000000E+00
324,  .0000000000000E+00,  .0000000000000E+00
325,  .0000000000000E+00,  .0000000000000E+00
326,  .0000000000000E+00,  .0000000000000E+00
327,  .0000000000000E+00,  .0000000000000E+00
328,  .0000000000000E+00,  .0000000000000E+00
329,  .0000000000000E+00,  .0000000000000E+00
330,  .0000000000000E+00,  .0000000000000E+00
331,  .0000000000000E+00,  .0000000000000E+00
332,  .0000000000000E+00,  .0000000000000E+00
333,  .0000000000000E+00,  .0000000000000E+00
334,  .0000000000000E+00,  .0000000000000E+00
335,  .0000000000000E+00,  .0000000000000E+00
336,  .0000000000000E+00,  .0000000000000E+00
337,  .0000000000000E+00,  .0000000000000E+00
338,  .0000000000000E+00,  .0000000000000E+00
339,  .0000000000000E+00,  .0000000000000E+00
340,  .0000000000000E+00,  .0000000000000E+00
341,  .0000000000000E+00,  .0000000000000E+00
342,  .0000000000000E+00,  .0000000000000E+00
343,  .0000000000000E+00,  .0000000000000E+00
344,  .0000000000000E+00,  .0000000000000E+00
345,  .0000000000000E+00,  .0000000000000E+00
346,  .0000000000000E+00,  .0000000000000E+00
347,  .0000000000000E+00,  .0000000000000E+00
348,  .0000000000000E+00,  .0000000000000E+00
349,  .0000000000000E+00,  .0000000000000E+00
350,  .0000000000000E+00,  .0000000000000E+00
351,  .0000000000000E+00,  .0000000000000E+00
352,  .0000000000000E+00,  .0000000000000E+00
353,  .0000000000000E+00,  .0000000000000E+00
354,  .0000000000000E+00,  .0000000000000E+00
355,  .0000000000000E+00,  .0000000000000E+00
356,  .0000000000000E+00,  .0000000000000E+00
357,  .0000000000000E+00,  .0000000000000E+00
358,  .0000000000000E+00,  .0000000000000E+00
359,  .0000000000000E+00,  .0000000000000E+00
360,  .0000000000000E+00,  .0000000000000E+00
361,  .0000000000000E+00,  .0000000000000E+00
362,  .0000000000000E+00,  .0000000000000E+00
363,  .0000000000000E+00,  .0000000000000E+00
364,  .0000000000000E+00,  .0000000000000E+00
365,  .0000000000000E+00,  .0000000000000E+00
366,  .0000000000000E+00,  .0000000000000E+00
367,  .0000000000000E+00,  .0000000000000E+00
368,  .0000000000000E+00,  .0000000000000E+00
369,  .0000000000000E+00,  .0000000000000E+00
370,  .0000000000000E+00,  .0000000000000E+00
371,  .0000000000000E+00,  .0000000000000E+00
372,  .0000000000000E+00,  .0000000000000E+00
373,  .0000000000000E+00,  .0000000000000E+00
374,  .0000000000000E+00,  .0000000000000E+00
375,  .0000000000000E+00,  .0000000000000E+00
376,  .0000000000000E+00,  .0000000000000E+00
377,  .0000000000000E+00,  .0000000000000E+00
378,  .0000000000000E+00,  .0000000000000E+00
379,  .0000000000000E+00,  .0000000000000E+00
380,  .0000000000000E+00,  .0000000000000E+00
381,  .0000000000000E+00,  .0000000000000E+00
382,  .0000000000000E+00,  .0000000000000E+00
383,  .0000000000000E+00,  .0000000000000E+00
384,  .0000000000000E+00,  .0000000000000E+00
385,  .0000000000000E+00,  .0000000000000E+00
386,  .0000000000000E+00,  .0000000000000E+00
387,  .0000000000000E+00,  .0000000000000E+00
388,  .0000000000000E+00,  .0000000000000E+00
389,  .0000000000000E+00,  .0000000000000E+00
390,  .0000000000000E+00,  .0000000000000E+00
391,  .0000000000000E+00,  .0000000000000E+00
392,  .0000000000000E+00,  .0000000000000E+00
393,  .0000000000000E+00,  .0000000000000E+00
394,  .0000000000000E+00,  .0000000000000E+00
395,  .0000000000000E+00,  .0000000000000E+00
396,  .0000000000000E+00,  .0000000000000E+00
397,  .0000000000000E+00,  .0000000000000E+00
398,  .0000000000000E+00,  .0000000000000E+00
399,  .0000000000000E+00,  .0000000000000E+00
400,  .0000000000000E+00,  .0000000000000E+00
401,  .0000000000000E+00,  .0000000000000E+00
402,  .0000000000000E+00,  .0000000000000E+00
403,  .0000000000000E+00,  .0000000000000E+00
404,  .0000000000000E+00,  .0000000000000E+00
405,  .0000000000000E+00,  .0000000000000E+00
406,  .0000000000000E+00,  .0000000000000E+00
407,  .0000000000000E+00,  .0000000000000E+00
408,  .0000000000000E+00,  .0000000000000E+00
409,  .0000000000000E+00,  .0000000000000E+00
410,  .0000000000000E+00,  .0000000000000E+00
411,  .0000000000000E+00,  .0000000000000E+00
412,  .0000000000000E+00,  .0000000000000E+00
413,  .0000000000000E+00,  .0000000000000E+00
414,  .0000000000000E+00,  .0000000000000E+00
415,  .0000000000000E+00,  .0000000000000E+00
416,  .0000000000000E+00,  .0000000000000E+00
417,  .0000000000000E+00,  .0000000000000E+00
418,  .0000000000000E+00,  .0000000000000E+00
419,  .0000000000000E+00,  .0000000000000E+00
420,  .0000000000000E+00,  .0000000000000E+00
421,  .0000000000000E+00,  .0000000000000E+00
422,  .0000000000000E+00,  .0000000000000E+00
423,  .0000000000000E+00,  .0000000000000E+00
424,  .0000000000000E+00,  .0000000000000E+00
425,  .0000000000000E+00,  .0000000000000E+00
426,  .0000000000000E+00,  .0000000000000E+00
427,  .0000000000000E+00,  .0000000000000E+00
428,  .0000000000000E+00,  .0000000000000E+00
429,  .0000000000000E+00,  .0000000000000E+00
430,  .0000000000000E+00,  .0000000000000E+00
431,  .0000000000000E+00,  .0000000000000E+00
432,  .0000000000000E+00,  .0000000000000E+00
433,  .0000000000000E+00,  .0000000000000E+00
434,  .0000000000000E+00,  .0000000000000E+00
435,  .0000000000000E+00,  .0000000000000E+00
436,  .0000000000000E+00,  .0000000000000E+00
437,  .0000000000000E+00,  .0000000000000E+00
438,  .0000000000000E+00,  .0000000000000E+00
439,  .0000000000000E+00,  .0000000000000E+00
440,  .0000000000000E+00,  .0000000000000E+00
441,  .0000000000000E+00,  .0000000000000E+00
442,  .0000000000000E+00,  .0000000000000E+00
443,  .0000000000000E+00,  .0000000000000E+00
444,  .0000000000000E+00,  .0000000000000E+00
445,  .0000000000000E+00,  .0000000000000E+00
446,  .0000000000000E+00,  .0000000000000E+00
447,  .0000000000000E+00,  .0000000000000E+00
448,  .0000000000000E+00,  .0000000000000E+00
449,  .0000000000000E+00,  .0000000000000E+00
450,  .0000000000000E+00,  .0000000000000E+00
451,  .0000000000000E+00,  .0000000000000E+00
452,  .0000000000000E+00,  .0000000000000E+00
453,  .0000000000000E+00,  .0000000000000E+00
454,  .0000000000000E+00,  .0000000000000E+00
455,  .0000000000000E+00,  .0000000000000E+00
456,  .0000000000000E+00,  .0000000000000E+00
457,  .0000000000000E+00,  .0000000000000E+00
458,  .0000000000000E+00,  .0000000000000E+00
459,  .0000000000000E+00,  .0000000000000E+00
460,  .0000000000000E+00,  .0000000000000E+00
461,  .0000000000000E+00,  .0000000000000E+00
462,  .0000000000000E+00,  .0000000000000E+00
463,  .0000000000000E+00,  .0000000000000E+00
464,  .0000000000000E+00,  .0000000000000E+00
465,  .0000000000000E+00,  .0000000000000E+00
466,  .0000000000000E+00,  .0000000000000E+00
467,  .0000000000000E+00,  .0000000000000E+00
468,  .0000000000000E+00,  .0000000000000E+00
469,  .0000000000000E+00,  .0000000000000E+00
470,  .0000000000000E+00,  .0000000000000E+00
471,  .0000000000000E+00,  .0000000000000E+00
472,  .0000000000000E+00,  .0000000000000E+00
473,  .0000000000000E+00,  .0000000000000E+00
474,  .0000000000000E+00,  .0000000000000E+00
475,  .0000000000000E+00,  .0000000000000E+00
476,  .0000000000000E+00,  .0000000000000E+00
477,  .0000000000000E+00,  .0000000000000E+00
478,  .0000000000000E+00,  .0000000000000E+00
479,  .0000000000000E+00,  .0000000000000E+00
480,  .0000000000000E+00,  .0000000000000E+00
481,  .0000000000000E+00,  .0000000000000E+00
482,  .0000000000000E+00,  .0000000000000E+00
483,  .0000000000000E+00,  .0000000000000E+00
484,  .0000000000000E+00,  .0000000000000E+00
485,  .0000000000000E+00,  .0000000000000E+00
486,  .0000000000000E+00,  .0000000000000E+00
487,  .0000000000000E+00,  .0000000000000E+00
488,  .0000000000000E+00,  .0000000000000E+00
489,  .0000000000000E+00,  .0000000000000E+00
490,  .0000000000000E+00,  .0000000000000E+00
491,  .0000000000000E+00,  .0000000000000E+00
492,  .0000000000000E+00,  .0000000000000E+00
493,  .0000000000000E+00,  .0000000000000E+00
494,  .0000000000000E+00,  .0000000000000E+00
495,  .0000000000000E+00,  .0000000000000E+00
496,  .0000000000000E+00,  .0000000000000E+00
497,  .0000000000000E+00,  .0000000000000E+00
498,  .0000000000000E+00,  .0000000000000E+00
499,  .0000000000000E+00,  .0000000000000E+00
500,  .0000000000000E+00,  .0000000000000E+00
501,  .0000000000000E+00,  .0000000000000E+00
502,  .0000000000000E+00,  .0000000000000E+00
503,  .0000000000000E+00,  .0000000000000E+00
504,  .0000000000000E+00,  .0000000000000E+00
505,  .0000000000000E+00,  .0000000000000E+00
506,  .0000000000000E+00,  .0000000000000E+00
507,  .0000000000000E+00,  .0000000000000E+00
508,  .0000000000000E+00,  .0000000000000E+00
509,  .0000000000000E+00,  .0000000000000E+00
510,  .0000000000000E+00,  .0000000000000E+00
511,  .0000000000000E+00,  .0000000000000E+00
512,  .0000000000000E+00,  .0000000000000E+00
513,  .0000000000000E+00,  .0000000000000E+00
514,  .0000000000000E+00,  .0000000000000E+00
515,  .0000000000000E+00,  .0000000000000E+00
516,  .0000000000000E+00,  .0000000000000E+00
517,  .0000000000000E+00,  .0000000000000E+00
518,  .0000000000000E+00,  .0000000000000E+00
519,  .0000000000000E+00,  .0000000000000E+00
520,  .0000000000000E+00,  .0000000000000E+00
521,  .0000000000000E+00,  .0000000000000E+00
522,  .0000000000000E+00,  .0000000000000E+00
523,  .0000000000000E+00,  .0000000000000E+00
524,  .0000000000000E+00,  .0000000000000E+00
525,  .0000000000000E+00,  .0000000000000E+00
526,  .0000000000000E+00,  .0000000000000E+00
527,  .0000000000000E+00,  .0000000000000E+00
528,  .0000000000000E+00,  .0000000000000E+00
529,  .0000000000000E+00,  .0000000000000E+00
530,  .0000000000000E+00,  .0000000000000E+00
531,  .0000000000000E+00,  .0000000000000E+00
532,  .0000000000000E+00,  .0000000000000E+00
533,  .0000000000000E+00,  .0000000000000E+00
534,  .0000000000000E+00,  .0000000000000E+00
535,  .0000000000000E+00,  .0000000000000E+00
536,  .0000000000000E+00,  .0000000000000E+00
537,  .0000000000000E+00,  .0000000000000E+00
538,  .0000000000000E+00,  .0000000000000E+00
539,  .0000000000000E+00,  .0000000000000E+00
540,  .0000000000000E+00,  .0000000000000E+00
541,  .0000000000000E+00,  .0000000000000E+00
542,  .0000000000000E+00,  .0000000000000E+00
543,  .0000000000000E+00,  .0000000000000E+00
544,  .0000000000000E+00,  .0000000000000E+00
545,  .0000000000000E+00,  .0000000000000E+00
546,  .0000000000000E+00,  .0000000000000E+00
547,  .0000000000000E+00,  .0000000000000E+00
548,  .0000000000000E+00,  .0000000000000E+00
549,  .0000000000000E+00,  .0000000000000E+00
550,  .0000000000000E+00,  .0000000000000E+00
551,  .0000000000000E+00,  .0000000000000E+00
552,  .0000000000000E+00,  .0000000000000E+00
553,  .0000000000000E+00,  .0000000000000E+00
554,  .0000000000000E+00,  .0000000000000E+00
555,  .0000000000000E+00,  .0000000000000E+00
556,  .0000000000000E+00,  .0000000000000E+00
557,  .0000000000000E+00,  .0000000000000E+00
558,  .0000000000000E+00,  .0000000000000E+00
559,  .0000000000000E+00,  .0000000000000E+00
560,  .0000000000000E+00,  .0000000000000E+00
561,  .0000000000000E+00,  .0000000000000E+00
562,  .0000000000000E+00,  .0000000000000E+00
563,  .0000000000000E+00,  .0000000000000E+00
564,  .0000000000000E+00,  .0000000000000E+00
565,  .0000000000000E+00,  .0000000000000E+00
566,  .0000000000000E+00,  .0000000000000E+00
567,  .0000000000000E+00,  .0000000000000E+00
568,  .0000000000000E+00,  .0000000000000E+00
569,  .0000000000000E+00,  .0000000000000E+00
570,  .0000000000000E+00,  .0000000000000E+00
571,  .0000000000000E+00,  .0000000000000E+00
572,  .0000000000000E+00,  .0000000000000E+00
573,  .0000000000000E+00,  .0000000000000E+00
574,  .0000000000000E+00,  .0000000000000E+00
575,  .0000000000000E+00,  .0000000000000E+00
